timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/20 07:34:08.695, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:34:18.697, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:34:28.698, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:34:38.699, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:34:48.700, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:34:58.701, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:35:08.703, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:35:18.707, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:35:28.708, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:35:38.709, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:35:48.713, Tesla V100-PCIE-16GB, 44 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:35:58.713, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:36:08.715, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:36:18.716, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 49
2026/08/20 07:36:28.717, Tesla V100-PCIE-16GB, 24 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:36:38.718, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:36:48.719, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:36:58.720, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:37:08.721, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:37:18.722, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:37:28.724, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
