timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/11 07:24:28.053, Tesla V100-PCIE-16GB, 39 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:33.054, Tesla V100-PCIE-16GB, 40 %, 14 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:38.055, Tesla V100-PCIE-16GB, 42 %, 15 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:43.058, Tesla V100-PCIE-16GB, 0 %, 0 %, 0 MiB, 16384 MiB
2026/08/11 07:24:48.096, Tesla V100-PCIE-16GB, 6 %, 1 %, 372 MiB, 16384 MiB
2026/08/11 07:24:53.097, Tesla V100-PCIE-16GB, 57 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:24:58.100, Tesla V100-PCIE-16GB, 55 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:03.103, Tesla V100-PCIE-16GB, 60 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:08.103, Tesla V100-PCIE-16GB, 55 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:13.104, Tesla V100-PCIE-16GB, 54 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:18.105, Tesla V100-PCIE-16GB, 60 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:23.106, Tesla V100-PCIE-16GB, 57 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:28.106, Tesla V100-PCIE-16GB, 58 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:33.113, Tesla V100-PCIE-16GB, 58 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:38.113, Tesla V100-PCIE-16GB, 57 %, 7 %, 638 MiB, 16384 MiB
2026/08/11 07:25:43.114, Tesla V100-PCIE-16GB, 36 %, 11 %, 640 MiB, 16384 MiB
2026/08/11 07:25:48.115, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:25:53.116, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:25:58.116, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:03.166, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:08.167, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:13.168, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:18.168, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:23.172, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:28.173, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:26:33.173, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
